,Q147.OtherInfoAreas,Q147.OtherInfoAreas.Reponse1.Level1,Q147.OtherInfoAreas.Reponse1.Level2,Q147.OtherInfoAreas.Reponse1.Level3,Q147.OtherInfoAreas.Reponse2.Level1,Q147.OtherInfoAreas.Reponse2.Level2,,Q147.OtherInfoAreas.Reponse3.Level1,Q148.IdeasOfChanges,Q150.HelpToImplementChanges,Q150.HelpToImplementChanges.Reponse1.Level1,Q150.HelpToImplementChanges.Reponse1.Level2,Q150.HelpToImplementChanges.Reponse1.Level3,Q150.HelpToImplementChanges.Reponse2.Level1,Q150.HelpToImplementChanges.Reponse2.Level2,Q150.HelpToImplementChanges.Reponse3.Level1,Q150.HelpToImplementChanges.Reponse3.Level2,Q162.MainChallengesOnFarm,Q162.MainChallengesOnFarm.Reponse1.Level1,Q162.MainChallengesOnFarm.Reponse1.Level2,Q162.MainChallengesOnFarm.Reponse2.Level1,Q162.MainChallengesOnFarm.Reponse2.Level2,Q162.MainChallengesOnFarm.Reponse2.Level3,Q162.MainChallengesOnFarm.Reponse3.Level1,Q162.MainChallengesOnFarm.Reponse3.Level2,Q162.MainChallengesOnFarm.Reponse4.Level1,Q163.SolutionsToAddressProblems,Q163.SolutionsToAddressProblems.Reponse1.Level1,Q163.SolutionsToAddressProblems.Reponse1.Level2,Q163.SolutionsToAddressProblems.Reponse1.Level3,Q163.SolutionsToAddressProblems.Reponse2.Level1,Q163.SolutionsToAddressProblems.Reponse2.Level2,Q166.ShareNewFarmingPractice.Example,Q170.ChallengesOfSharingInfo,Q170.ChallengesOfSharingInfo.Reponse1.Level1,Q170.ChallengesOfSharingInfo.Reponse1.Level2,Q170.ChallengesOfSharingInfo.Reponse2.Level1,Q171.MakeSharingEasier,Q171.MakeSharingEasier.Response1.Level1,Q171.MakeSharingEasier.Response1.Level2,Q171.MakeSharingEasier.Response2.Level1,Q21.Income.Other,Q21.Income.Other.Reponse1.Level1,Q21.Income.Other.Reponse1.Level2,Q21.Income.Other.Reponse2.Level1,Q21.Income.Other.Reponse2.Level2,Q28.FarmHealth.Text,Q93.BankAccountChallenges,Q93.BankAccountChallenges.Reponse1.Level1,Q93.BankAccountChallenges.Reponse2.Level1,Q95.BankLoanFacilityChallenges,Q95.BankLoanFacilityChallenges.Reponse1.Level1,Q95.BankLoanFacilityChallenges.Reponse1.Level2,Q95.BankLoanFacilityChallenges.Reponse2.Level1,Q97.BankCreditChallenges.Reponse1.Level1,Q99.SACCOChallenges,Q99.SACCOChallenges.Reponse1.Level1,Q99.SACCOChallenges.Reponse1.Level2,Q99.SACCOChallenges.Reponse2.Level1
43,How to plant and take care of coffee,Training,Good agricultural practices,Coffee,,,,,,when i get financial assistance.,Finance,,,,,,,"Pests and diseases.
Lack of finances.",Pests,,Finance,,,,,,buy medicine for my cows and burn the affected plants,Cut & Burn Affected Area,,,Inputs,Medicine,When they have not gone to workshops i would tell them what i have learnt and how they can solve it.,Some do not want to attend workshops because they need to be facilitated.,Poor Committment,,,"Increase our standards of farming so that our farms attracts more visitors,we ought to be exemplary",Improve farming to attract visitors,,,To pay labours,Wages,,,,change of seasons,,,,,,,,,FAILURE TO SERVICE THE LOAN,Repayment Hard,,
44,How to grow and harvest good coffee,Training,Good agricultural practices,Coffee,Training,Harvesting,,Coffee,,"Since we are members of the society,we would appreciate it if we are supported with money which have no interests so that we also develop ourselves.",Finance,,,,,,,"Pests and diseases.
Natural calamities",Pests,,Finance,,,,,,I cut off the affected areas.,Cut & Burn Affected Area,,,,,I would tell them how they should carry out farming just as i have been taught.,Some people are slow in adopting ideas.,People lack necessities to implement new skills,,,More trainings so as to teach them.,Training,,,i buy matures,Farm Costs,,,,Pests and diseases,,,,,,,,,HIGH INTEREST RATES,High Interest,,
45,About how to grow good quality coffee,Training,Good agricultural practices,Coffee,Training,Good agricultural practices,Quality,Coffee,,when our society provides us with the  above materials and tools we would be very encouraged as other innovations come along.,Inputs,Materials,,Inputs,Equipment,,,"pests and diseases.
natural hazards",Pests,,Weather,Extreme,Natural disasters,,,,I cut off all the affected areas and burn them,Cut & Burn Affected Area,,,,,I would tell them exactly what i have been taught.,Most are stubborn and do not adopt the ideas,Fellow farmers do not accept training,,,More trainings.,Training,,,Hire labours in my farm,Wages,,,,Increased production,,,,,,,,,LOANS OFFICERS WANT BRIBES,Fraud,,
46,How to plant good quality with good yields.,Training,Good agricultural practices,Coffee,Training,Good agricultural practices,Quality,Coffee,,When i get enough money everything can be done.,Finance,,,,,,,Pests and diseases.,Pests,,,,,,,,i cut them off and burn them,Cut & Burn Affected Area,,,,,I would tell them exactly what they have told me,Some farmers are distant and therefore makes it difficult to communicate to them and share such valuable information.,Travel,,Communication,More trainings so that we all learn.,Training,,,Buy agricultural seeds.,Farm Costs,,,,Seasons are different affecting yields.,,,,,,,,,sometimes you get less than you would like.,Insufficient Disbursement Amount,,
47,I would like more help in growing looking after my coffee and bananas.,Training,Good agricultural practices,Coffee,Training,Good agricultural practices,,Bananas,,When am supported financially.,Finance,,,,,,,"Pests and diseases.
How to mulch because of lack of materials.",Pests,,Inputs,Fertilizer,Mulching,,,,i cut the dried coffee plants and throw them away.,Cut & Burn Affected Area,,,,,I would tell them exactly what i have been taught and i would even show them.,we have common problems affecting us so we all listen to each othetlr.,No Challenges,,,We should have very many meetings and also introduce the idea of change agents again since their contracts ended.,Training,,Farmer Promoters,I buy utensils,Daily Expenses,,,,Drought and hailstorms,,,,,,,,,sometimes you are given less money than you need,Insufficient Disbursement Amount,,
48,I lack information about what others are doing in regards to farming.,Information,Good agricultural practices,,,,,,,access to finances,Finance,,,,,,,"Pests diseases.
Shortage of labour.",Pests,,Labour ,Shortage,,,,,We cut the affected trees and plant new ones,Cut & Burn Affected Area,,,Replant,,"when i see someone who is doing something wrong i teach them like how to plant,prune and mulch.",Some do not adopt the ideas and think we are wasting time and resources.,Fellow farmers do not accept training,,Time,More trainings to teach us how to go about the problems and challenges.,Training,,,transport,Travel,,,,I built a good house,,,,,,,,,facility may not have enough money to  loan,Insufficient Disbursement Amount,,
49,"Pests and diseases affecting the coffee. 
coffee plants are becoming totally black.",Pest management,,,,,,,,enough training,Training,,,,,,,"Pests and diseases.
my coffee is turning yellow and also turns black.",Pests,,,,,,,,"we cut down the affected plants and burn them and since we do not have what to use,we first put them under the sun to dry.",Cut & Burn Affected Area,,,,,"Let me say when iam taught about making waste for my farm,i would teach them exactly how to use them",especially those who are not in the society do not easily understand.,Fellow farmers do not accept training,,,Increase trainings in the area.,Training,,,"paying labour, construct a house",Wages,,Investment,,The season was good,,,,,,,,,"delays,offer less, high intetest rate",Delayed Disbursement,,High Interest
50,How to fight pests and diseases,Pest management,,,,,,,,help from extension farmers,Training,Extension officer,,,,,,pests and diseases,Pests,,,,,,,,We are not allowed to spray coffee using pesticides so we either remove or cut off the affected areas and burn them.,Cut & Burn Affected Area,,,,,i would visit my friends and fellow farmers and show they exactly what i have been taught.,They first refuse my advice.,Fellow farmers do not accept training,,,More trainings so that they also attend in person.,Training,,,"paying loan, constructing a house",Loans,,Investment,,Alot drought leading to low yields,,,,,,,,,high interet cmplicate repayment,High Interest,,
51,I would have loved the information but problem is that i see iam growing old and the energy is also reducing but would like to continue farming with improved skills.,Information,,,Age,,,,,easy access to fertilizers,Inputs,Fertilizer,,,,,,No challenge.,None,,,,,,,,I cut the affected areas and burn them all,Cut & Burn Affected Area,,,,,What we have been taught and how to do it.,"When i take my time and reach someonea home and i teach them,some do not do what i teach them.",Fellow farmers do not accept training,,,More trainings should be done.,Training,,,taking care of parents,Family,,,,Pests and diseases were minimal,,,,,,,,,loan delays,Delayed Disbursement,,
52,How to plant and care for robusta coffee.,Training,Good agricultural practices,Coffee,,,,,,training,Training,,,,,,,"Pests and diseases.
Lack of finances.
Lack of tools to use for pruning anf materials when harvesting.",Pests,,Inputs,Equpiment,,Finance,,,I cut down the affected plants,Cut & Burn Affected Area,,,,,how to control pests,Others do not put them into action.,Fellow farmers do not accept training,,,More trainings should be carried.,Training,,,needs at home,Daily Expenses,,,,I have no problem.,,,,,,,,,limited shares,Shares,,
53,"I would like to be supported with cows for zero grazing and labour for farming.
Am also in need of fetilizers.",Livestock,Zero grazing,,Inputs,Labour,,,,Provision of financial support,Finance,,,,,,,"Pests and diaeases.
The cows normally fall sick especially during the dry season.",Pests,,Pests,Livestock health,,,,,"Farm pests and diseases.
When the coffee plants over grow,i find it hard to reach the upper parts of the coffee plants.",,,,,,practicing mulching,some find it hard to implement because of laziness or lack of money,People lack necessities to implement new skills,,,Increase the number of times trainings are carried out.,Training,,,things at home,Daily Expenses,,,,We have undergone alot of training in farming.,,,,,,,,,fear to fail to pay back,Repayment Hard,,
54,I need more training in farming.,Training,Good agricultural practices,,,,,,,provision of trainings,Training,,,,,,,"Pests and diseases.
lack of manure.",Pests,,Inputs,Fertilizer,Manure,,,,"When we meet in our society and table all our problems and seek for a collective solution as a society,i think all these problems will be eradicated.",Support ,Farmer societies,,,,how to rear bees,"There are good things only,i havent found any challenge",No Challenges,,,Bring more trainings about coffee growing.,Training,,,home needs,Daily Expenses,,,,Good season,,,,,,,,,high interest rate,High Interest,,
55,Farming techniques are very different so i would like to be trained morr.,Training,Good agricultural practices,,,,,,,get people to carry out these changes on the farm,Training,New ideas,,,,,,"Pests and diseases.
Lack of finances to put some ideas into action.
Lack of labour to work on the farm since i do farming alone and all the children are in school.",Pests,,Finance,New ideas,,Labour ,Shortage,,We try and get medicine for cows and also completely cut down the affected coffee plants.,Cut & Burn Affected Area,,,Inputs,Medicine,planting coffee,favourable time to reach the farmers,Time,,,proper time scheduling,Coordination,,,keeping in sacco,Group Contributions,,,,Its because i planted new coffee plants,,,,,,,,,no challenge,No Challenge,,
56,How and which materials to use for mulching.,Inputs,Compost,Mulching,,,,,,provision of more trainings,Training,,,,,,,"Pests and diseases.
Lack of finances.
My soil does not sustain other crops except coffee and bananas",Pests,,Finance,,,Soil mangement,Fertility,,I buy coffee hasks and grass and use for mulching.,Soil mangement,Fertilizer,Mulching,,,managing pests on a farm,long distances,Travel,,,organize meetings on a demonstration farm,Demonstration farm,,,"buy things at home like hens, goats",Daily Expenses,,Livestock,,its because of the long drought,,,,,,,,,Theres no challenge,No Challenge,,
57,To increase the training sessions so that we learn more new things.,Training,New ideas,,,,,,,increase on my farm,Inputs,Land,,,,,,"Lack of waste products and finances to buy them.
Lack of enough land.
Pests and diseases.",Finance,,Prices,Land,,Pests,,,When i get some money i hire some labour but rarely.,Labour,Hire,,,,proper mulching,most farmers are illiterate,Poor Education,Illiteracy,,make transportation easy,Funding to travel,,,"invests in business, home use",Investment,Micro-enterprise,Daily Expenses,,lack of fertilizers,,,,,,,,,paying back is not easy because of low production,Repayment Hard,Farming Challenges,
58,Improved farming because it covers alot of areas regarding farming.,Training,Good agricultural practices,,,,,,,sensitization on other ways to carry out mulching,Training,Mulching,,,,,,"Pests and diseases.
lack of tools and grasd for mulching",Pests,,Inputs,Fertilizer,Mulching,,,,I have started mulching and adding terraces.,Soil mangement,Fertilizer,Mulching,Terracing,,how to deal with pests,long distance,Travel,,,provision of transportation,Funding to travel,,,support home,Daily Expenses,,,,use of fertilizers,,,,,,,,,Getting less than you need,Insufficient Disbursement Amount,,
59,How to fight these pests and diseases,Training,Pest management,,,,,,,provision of support like trainings,Training,,,,,,,"Pests and diseases.
Lack of manure like cow dung.",Pests,,Inputs,Fertilizer,Manure,,,,The extension workers have taught us to cut off the affected area and burn them.,Support ,Extension officers,,Cut & Burn Affected Area,,soil management,transportation and long distances,Travel,,,provision of transport,Funding to travel,,,paying loans,Loans,,,,weather changes,,,,,,,,,delayed loan,Delayed Disbursement,,
60,How to grow and take care of coffee.,Training,Good agricultural practices,Coffee,,,,,,provision of support,Support,,,,,,,I have no one to help me do them on my farm and am too old to do them.,Labour ,Shortage,Age,,,,,,We cut down the affected trees and burn them,Cut & Burn Affected Area,,,,,zero grazing,farmers ask for material help which i might not have,Lack of information/resources/demonstrations,,,provision of some materials to the farmers,Training materials,,,home use,Daily Expenses,,,,good weather,,,,,,,,,there are high interest rates on loans,High Interest,,
61,mulching,Inputs,Compost,Mulching,,,,,,Trainings,Training,,,Inputs,Materials,,,drought and pests,Pests,,Weather,Drought,,,,,we use some very little manure which is ofcourse not enough,Soil mangement,Fertilizer,Manure,,,how to make a nursery bed,some are rigid,Fellow farmers do not accept training,,,offer more training,Training,,,buy household things,Daily Expenses,,,,weather was favourable,,,,,,,,,High intrest  rates,High Interest,,
62,planting coffee and bananas,Inputs,Seedlings,Coffee,Inputs,Seedlings,Coffee,,,Training materials,Training,,,,,,,pests,Pests,,,,,,,,I just throw waste products in my farm.,Throw away waste products,,,,,mulching,poot response from the farmers,Poor Committment,,,offer transportation,Funding to travel,,,needs at home,Daily Expenses,,,,incresead number of plantations,,,,,,,,,i have not yet got any problem,No Challenge,,
63,Mulching and cutting old coffee trees practically,Inputs,Compost,Mulching,,,,,,If we can get more trainings,Training,,,,,,,"pests and diseases, duplicated drugs",Pests,,Inputs,Duplicated drugs,,,,,to cut off the affected coffee trees,Cut & Burn Affected Area,,,,,how to prevent pests,Facilitation like breakfast and lunch plus materials for the training.,Lack of information/resources/demonstrations,,,sensitisation,Sensitization,,,buy basic needs at home,Daily Expenses,,,,soil management,,,,,,,,,not any problem,No Challenge,,
64,"harvesting coffee, mulching, and drying coffee.",Inputs,Compost,Mulching,Training,Harvesting,Training,Coffee drying,,"Mobile network
Funds",Infrastructure,Mobile network,,Finance,,,,pests and weather changes,Pests,,Weather,Changing,,,,,cutting away the infected trees,Cut & Burn Affected Area,,,,,value addition,transportation and facilitation,Travel,,Lack of information/resources/demonstrations,provision of support,Training materials,,,"lubricant for vehicle and fuel, buying household needs",Car,,Daily Expenses,,i added manure in the farm,,,,,,,,,people dont pay promptly so its a big problem.,Delayed Disbursement,,
65,coffee planting,Training,Good agricultural practices,Planting,,,,,,"Financial support
Training",Finance,,,Training,,,,"pests and diseases
prolonged drought",Pests,,Weather,Drought,,,,,undergo training,Training ,,,,,how to effectively grow coffee,long distances and transportation,Travel,,,provision of facilitation,Training materials,,,,,,,,favourable weather,,,,,,,,,we are not registered  and people dont pay,Shares,,
66,Zero grazing,Livestock,Zero grazing,,,,,,,If we can get training on how to prevent coffee diseases,Training,Pest management,,,,,,Pests and diseases,Pests,,,,,,,,none,None,,,,,the amount of space or distance that should be left between coffee trees,lack of enough knowledge,Lack of information/resources/demonstrations,,,provide facilitation,Training materials,,,,,,,,the price of coffee increased abit,,,,,,,,,if i fall to pay they consificate my properties.,Repayment Hard,,
67,how to make a nursery bed for coffee,Training,Good agricultural practices,Planting,,,,,,Getting training,Training,,,,,,,"Pests and diseases
climate changes
Thieves",Pests,,Weather,Changing,,Thieves,,,cutting off affected trees,Cut & Burn Affected Area,,,,,maintaining soil fertility,peoples' attitude,Poor Committment,,,provide trainings,Training,,,,,,,,i fell sick and didnt pay attention to the farm,,,,,,,,,people dont pay back in time,Repayment Hard,,
68,how to harvest coffee and practice mulching,Inputs,Compost,Mulching,Training,Harvesting,,,,If I can get financial support,Finance,,,,,,,It reduces on the production if you over prune,Crops,Low productivity,,,,,,,get training on how to handle them,Training ,,,,,how to make a work plan,long distances between farmers,Travel,,,carry out sensitizations,Sensitization,,,,,,,,long drought,,,,,,,,,they dont want to pay money in time,Repayment Hard,,
69,how to prevent pests,Training,Pest management,,,,,,,Always to have trainings and sensitising people,Training,,,,,,,"Pests and diseases
Some times drought",Pests,,Weather,Drought,,,,,cutting off affected coffee trees,Cut & Burn Affected Area,,,,,how to carryout mulching,"poor attendance or turn up by the farmers, farmers ask for material support",Poor Committment,,Lack of information/resources/demonstrations,not applicable,NA,,,,,,,,loss of fertility,,,,,,,,,I sell out my properties to pay back the loan.,Repayment Hard,,
70,value addition,Training,Value addition,,,,,,,If i can be given a loan and training,Training,,,Finance,,,,"Coffee diseases and pests
Price fluctuation",Pests,,Prices,Price fluctuation,,,,,practice mulching and cutting off affected plants,Soil mangement,Fertilizer,Mulching,Cut & Burn Affected Area,,improving the quality of coffee,having alot of family responsibility,Time,,,holding sensitization meetings,Sensitization,,,,,,,,the weather was abit favourable,,,,,,,,,Difficulties in backing back if i get poor harvest,Repayment Hard,Farming Challenges,
71,coffee farming,Training,Good agricultural practices,Coffee,,,,,,Training,Training,,,,,,,"Diseases and pests
Thieves",Pests,,Thieves,,,,,,picking out the affected trees and burning them.,Cut & Burn Affected Area,,,,,the importance of mulching,requesting fot material support by the farmers,Lack of information/resources/demonstrations,,,proper sharing of information with my family members,Share with family,,,,,,,,i lacked enough finances and pests affected coffee,,,,,,,,,high interest rates.,High Interest,,
72,effective coffee farming,Training,Good agricultural practices,Coffee,,,,,,Organisation should always increase or mantain the price of coffee,Prices,Better prices,,,,,,Coffee Pests and diseases,Pests,,,,,,,,cutting off the affectes trees,Cut & Burn Affected Area,,,,,bee keeping,long distances between the farmers,Travel,,,sensitizing farmers and encouraging them to create groups that could help them.,Sensitization,,"Work with a group, make a shared plan",,,,,,weather conditions,,,,,,,,,high interest rate if donnot pay in time,High Interest,,Repayment Hard
73,maintaining soil fertility,Training,Soil management ,,,,,,,If i can training on how best to prevent Coffee disease especially wealt.,Training,Pest management,,,,,,"Pests and duseases
Drought",Pests,,Weather,Drought,,,,,cut off and burn the affected coffee trees,Cut & Burn Affected Area,,,,,water management,conservertiveness about bee keeping and lack of enough space.,Different Opinions,,,transport facilitation,Funding to travel,,,,,,,,i carried out prunning,,,,,,,,,first give in money before youare given a loan,Delayed Disbursement,,
74,mulching and weeding coffe plantations,Inputs,Compost,Mulching,Training,Weeding,,,,Training about coffee diseases and pests.,Training,Pest management,,,,,,"pests and diseases
Inadequate manure",Pests,,Inputs,Fertilizer,Manure,,,,cut off affected trees,Cut & Burn Affected Area,,,,,how to prevent pests and diseases,long distances and lack of tools,Travel,,Lack of information/resources/demonstrations,sensitization about the importance of bee keeping.,Sensitization,,,,,,,,the plantation was affected by pests,,,,,,,,,,,,
75,harvesting coffee,Training,Harvesting,,,,,,,To always attend training,Training,,,,,,,Coffee disease and diseases,Pests,,,,,,,,cut and burn affected coffee trees,Cut & Burn Affected Area,,,,,Fellow Members of the society and cmmunity members,lack of facilitation,Lack of information/resources/demonstrations,,,facilitation and support,Training materials,,,,,,,,lack of mulching and composting,,,,,,,,,,,,
76,effective planting of coffee,Training,Good agricultural practices,,,,,,,Training us,Training,,,,,,,"Pests and diseases
Lack enough manure",Pests,,Inputs,Fertilizer,Manure,,,,cut off the affected trees,Cut & Burn Affected Area,,,,,Family Members,some farmers are conservertive,Different Opinions,,,Get some funds and sensitisation,Funding,,Sensitization ,,,,,,i had planted new coffee trees and also mulched,,,,,,,,,,,,
77,coffee growing,Training,Good agricultural practices,,,,,,,Training on the new methods of farming,Training,New ideas,,,,,,"Pests and diseases
Thieves",Pests,,Thieves,,,,,,cut off the affected coffee trees,Cut & Burn Affected Area,,,,,Fellow members and community members,"Transport costs.
Facilitation like allowances and food to provide during the  training",Travel,Per Diem,,May be to always make appointment with them,"Work with a group, make a shared plan",,,,,,,,Proper care of the plantations,,,,,,,,,,,,
78,improving the quality of coffee and bananas,Training,Good agricultural practices,Quality,,,,,,I cut and uproot the coffee plant that has wealt,Training,Pest management,,,,,,"Pests and diseases
Thieves who normally steak my coffee from the plantation",Pests,,Thieves,,,,,,cut off affectes trees,Cut & Burn Affected Area,,,,,My Friends,Time since since most of my friends are very far and busy,Time,,Travel,I can form a group for coffee growers,"Work with a group, make a shared plan",,,,,,,,favourable weather conditions,,,,,,,,,,,,
79,better coffee farming practices,Training,Good agricultural practices,,,,,,,Traininin is highly needed.,Training,,,,,,,"Coffee diseases
Weed",Pests,,Weeds,,,,,,cutting and burning affected coffee trees,Cut & Burn Affected Area,,,,,My close friend,"Low attendance
Limited time 
People need allowances to attend a discussion or training",Time,,Poor Committment,To get more support from the coffee orgasations,Increased support from cooperative,,,,,,,,i didnt do anything different,,,,,,,,,,,,
80,bee keeping,Training,Bee keeping,,,,,,,GETTING FINANCIAL HELP,Finance,,,,,,,"Coffee diseases
Pests
At times snow",Pests,,Extreme,Snow,,,,,cutting off and burning affected trees,Cut & Burn Affected Area,,,,,Better methods of farming,No challenge because she is my neighbour,No Challenges,,,To first get training,Training,,,,,,,,favourable,,,,,,,,,,,,
81,how to grow good quality coffee,Training,Good agricultural practices,Quality,,,,,,GETTING TAUGHT ON HOW TO CONTROL THE COFFEE WILT DISEASE,Training,Pest management,,,,,,"pests and diseases
Drought
Thieves",Pests,,Weather,Drought,,Thieves,,,cutting affected trees and burning them,Cut & Burn Affected Area,,,,,"My exprience in coffee production
Information I will have acquired from the training",Low turn up of people because people need sitting allowances,Per Diem,,,If i can get some facilitation to motivate people to attend the trainings,Training materials,,,,,,,,not maintaining soil fertility,,,,,,,,,,,,
82,maintaing soil fertility,Training,Soil management ,,,,,,,GETTING MORE HELP FROM THE CO-OPERATIVE SOCIETY,Support,,,,,,,"Inadequete money to buy manure and pestcides.
Price fluctuation.
Low price",Prices,Price fluctuation,Inputs,Fertilizer,Manure,Prices,Low prices,,cutting off the affected trees and burning them,Cut & Burn Affected Area,,,,,Best coffee practices,No big challenge,No Challenges,,,Provide training nearer to the farmers,Training,Proximity to farmers,,,,,,,pests and diseases on the farm,,,,,,,,,,,,
83,water management,Training,Water management ,,,,,,,BE GIVEN ACCESS TO LOANS TO HELP FINANCE AND BUY FARM INPUTS AND TOOLS,Finance,Inputs,,Finance,Equipment,,,"Pests and diseases
I lack manure",Pests,,Inputs,Fertilizer,Manure,,,,cut off the affected plants,Cut & Burn Affected Area,,,,,How to control coffee pests and diseases,Low turn up,Poor Committment,,,"If there is some one from coffee organisations to go with.
Facilitation",Increased support from cooperative,,,,,,,,incresead number of coffee trees,,,,,,,,,,,,
84,how to improve on the quality of coffee,Training,Good agricultural practices,Quality,,,,,,EASIER ACCESS TO FINANCES,Finance,,,,,,,"Coffee wealt.
Price fluctustion
Coffee thieves",Pests,,Prices,Price fluctuation,,Thieves,,,cutting off the affected coffee trees,Cut & Burn Affected Area,,,,,Modern farming practices,Lack of money to implement what we normally learn,People lack necessities to implement new skills,,,Need some facilitation and training,Training materials,,,,,,,,i practiced mulching,,,,,,,,,,,,
85,how to prevent pests and diseases,Training,Pest management,,,,,,,BE GIVEN GOOD SEEDLINGS,Inputs,Seedlings,,,,,,"Coffee wealt
Price flutuation",Pests,,Prices,Price fluctuation,,,,,cut off the affected plantations,Cut & Burn Affected Area,,,,,Best farming practices,"Low turn up 
In adequate time",Poor Committment,,,If I am trained,Training materials,,Training,,,,,,unfavourable weather conditions,,,,,,,,,,,,
86,maintaining quality,Training,Good agricultural practices,Quality,,,,,,AVAILABILITY OF FINANCES OR LOANS,Finance,,,,,,,"Pests and diseases
Coffee wealt",Pests,,Prices,Price fluctuation,,,,,cutting off affected plantations,Cut & Burn Affected Area,,,,,coffee plantation practices,Inadequate information,Lack of information/resources/demonstrations,,,Attending trainings,Training,,,,,,,,i added value to the farm by mulching,,,,,,,,,,,,
87,Solutions to coffee diseases and pests,Training,Good agricultural practices,,,,,,,INCREASE IN FINANCING,Finance,,,,,,,"Pests and diseases
I fail to get money to buy manure
Again am always busy doing other things other than coffee",Pests,,Inputs,Fertilizer,Manure,Time,,,cutting off affected plants,Cut & Burn Affected Area,,,,,Prevention of coffee disease,"Inadequete knowledge on coffee farming.
Time since most of them are busy",Lack of information/resources/demonstrations,,,Provide training,Training,,,,,,,,Weather was abit favourable,,,,,,,,,,,,
88,Information about the causes of price flutuation,Information,Prices,Price fluctuation,,,,,,TRAINING IN MANURE MAKING,Training,Soil mangement,Manure,,,,,Coffee wealt.,Pests,,,,,,,,cut and burn the affected plantations,Cut & Burn Affected Area,,,,,benefits of prunning coffee,"Low turn up
Facilitation fee
 Lack of training materials",Lack of information/resources/demonstrations,Poor Committment,Per Diem,Need financial support and training materials,Per Diem,,Training materials,,,,,,pests and diseases affected the plantations,,,,,,,,,,,,
89,"Best farming Practices
Trainings
Prices of coffee
visting demonstrations from other farmers",Training,Good agricultural practices,,Information,Prices,,Training,Farm demonstrations,information on how yo keep bees,Information,Bee keeping,,,,,,Pests and diaeases,Pests,,,,,,,,cut and burn the affected plants,Cut & Burn Affected Area,,,,,How best they can ensure quality of coffee,Low turn up of people,Poor Committment,,,Need motivation and to be sensitised,Sensitization,,Motivation,,,,,,It because of coffee pests,,,,,,,,,,,,
90,On coffee diseases and pests,Training,Pest management,,,,,,,more information and financial support,Information,,,Finance,,,,Coffee pests and disease.,Pests,,,,,,,,cut off and burn affected plants,Cut & Burn Affected Area,,,,,How to prevent coffee diseases and pests,"Inadequate knowledge on the subject.
Others demand for money",Lack of information/resources/demonstrations,Per Diem,,We should have training and there is a need for sensitisation,Training,,Sensitization,,,,,,Good methods of farming,,,,,,,,,,,,
91,Ho we can control coffee diseases and pests,Training,Pest management,,,,,,,start up capital,Finance,Start-up capital,,,,,,"Pests and diseases
Low coffee prices
Coffee wealt.",Pests,,Prices,Low prices,,,,,cutting and burning the affected plants,Cut & Burn Affected Area,,,,,Best coffee practices and best ways of ensuring qyality of coffee,Inadequate training,Lack of information/resources/demonstrations,,,Need training for the farmers,Training,,,,,,,,It was affected by snow during flowering,,,,,,,,,,,,
92,Coffee prices,Information,Prices,,,,,,,government suport,Government access,,,,,,,"Coffee diseases and pests
I donot have energy to make trenches since I am old.",Pests,,Age,,,,,,cutting off and burning affected plantations.,Cut & Burn Affected Area,,,,,How to control coffee diseases and pests,"At times lack of transport the farmers
Lack of training materials",Travel,,Lack of information/resources/demonstrations,"Advising my fellow farmers to always attend trainings
The organisation to provide us training materials",Increased support from cooperative,,Training materials,,,,,,we got new types of coffee that are resistant,,,,,,,,,,,,
93,Information about modern coffee practices,Information,Good agricultural practices,,,,,,,demos,Training,Farm demonstrations,,,,,,"Coffee diseases and pests
In adequate money to buy mulches",Pests,,Inputs,Fertilizer,Mulching,,,,cutting off affected plants.,Cut & Burn Affected Area,,,,,"Coffee diseases
How to ensure quality of coffee",In sdequate informstion about coffee diseases and pests,Lack of information/resources/demonstrations,,,If I can be trained and given training materials,Training,,Training materials,,,,,,Good weather,,,,,,,,,,,,
94,Best coffee practices,Training,Good agricultural practices,,,,,,,training on it,Training,,,,,,,Pests and diseases especially coffee wealt,Pests,,,,,,,,cut off affected plants and burn them,Cut & Burn Affected Area,,,,,Coffee disease and pests,I might fail to get time to share information with others since I am always busy,Time,,,Senstising coffee farmers,Sensitization,,,,,,,,Favourable weather,,,,,,,,,,,,
95,Coffee diseases and pests,Training,Pest management,,,,,,,maximise coffee produce to get money that can enable him buy much more land,Training,Yield improvement,,,,,,"Pests and diseases
Low prices 
Coffee wealt",Pests,,Prices,Low prices,,,,,no solutions per now,None,,,,,How to prevent the spread of coffee diseases and pests,They normally technical questions which require expertise,Prefer training from experts/extension staff,,,May be to fix some time on my schedule,Coordination,,,,,,,,Good weather and addition of manure,,,,,,,,,,,,
96,About good coffee practices,Training,Good agricultural practices,,,,,,,training on chicken housing,Training,Livestock,Poultry,,,,,"Coffee diseases and pests.
Price price fluctuation",Pests,,Prices,Price fluctuation,,,,,I always consult extention workers,Support ,Extension officers,,,,How best we can ensure quality of coffee,"Indequete funds to facilitate training.
Lack kf training materials",Lack of information/resources/demonstrations,Per Diem,,Training atleast once in two months,Training,,,,,,,,Good farming practices,,,,,,,,,,,,
