,Q147.OtherInfoAreas,Q148.IdeasOfChanges,Q150.HelpToImplementChanges,Q162.MainChallengesOnFarm,Q163.SolutionsToAddressProblems,Q166.ShareNewFarmingPractice.Example,Q170.ChallengesOfSharingInfo,Q171.MakeSharingEasier,Q21.Income.Other.O6.Text,Q28.FarmHealth.Text,Q93.BankAccountChallenges,Q95.BankLoanFacilityChallenges,Q97.BankCreditChallenges,Q99.SACCOChallenges
101,Investment on farming,,"Provision of resources and capital,training","frost,drought","hand weeding
chemical weeding",best farming practices,Lack of demonstrations and training materials,visiting other farms,,weather changes and poor fertilizers,,,,
102,Fertilizer size and how often to be applied,,,runoff from the nearby road affect soil in my farm,not yet done any thing,"energy saving jiko
dairy farming using local feeds","Illiteracy
Lack big lands for planting",educate them on records keeping,,delayed fertilizer aplication,,,,
103,"Kilograms measurements during tea harvest
Number of Kgs from one tea tree per year",,,"frost,",plucking at tender stage to avoid being left at the buying center,soil management and shade trees,"Demonstrations 
Finances on transport/fare",develop education channel for farmers to get them,,"wether changes , flactuation of rain distribution",,,,
104,How to keep and maintain tea,,,frost and drought,not yet done  any,"using energy saving jiko
digging terraces","Many are busy working to make ends meet/get money
People need practicals or demonstrations 
Time",educate us,,drought and weather change,,,,
105,"Soil 
Weather",,,"drought,lack of access to fertilizer",not yet design,"every farming technique such as chemical weeding,tea nursery, water management",Time,educate us and improve on mobility  of farmers to see the rest how they are doing,,weather changes and climate change,,,,
106,"Tea 
Cows",,,"drought,hailstones and frost",not yet its the company to assist us get good price,Tea management to give more income,"Implementation 
Lack of funds",hold field days around here where we can access,,weather changes and delayed fertilizer,,,,
107,"Seeds knowledge to know which are good 
About agrochemicals
Care of crops - general",,,"drought,source of fertilzer",not yet done anything,Good farming practises,Negligence,have community participation on tea production field days,,weather and fertilizer,,,,
108,"Tea care and management 
Cattle rearing 
Poultry",,,"drought,hailtones","Made terraces, mulching","Tea farm care, weeding and record keeping","Method of relaying information 
Lack of logistics",construct passable roads,,good rain and lack of pests,,,,
109,Zero grazing goats,,,"drought,lack of fertilizer",Weeding using a jembe,"Soil erosion 
Pruning in time",Lack of coordination,educate us and make passable roads,,weather changes and much cold,,,,
110,Short-term crops and its productions,,,"weeds
animal feeds
finance
fluctuating prices
labour turnover",Uprooting and digging out,"poultry farming,beekeeping",COMMUNICATION BREAKDOWN,creation of time to share,,weather harshness,,,,
111,Time intervals to pluck tea again,,,"weeds
soil erosion
price fluctuation of tea","Uprooting, weeding",potatoes farming,LACK OF WILL POWER ON THE PART OF THE FARMERS,farmers day be created to make it easier for farmers to interract,,"drought ,delay of fertiliser",,,,
112,Marketing,,,"weeds
soil erosion
food insecurity","Using chemicals sprays 
Employ labour to weed",how to weed,MOST OF THE FARMERS WOULD ONLY LIKE TO HEAR THE INFORMATION FROM AN EXPERT,farmers be trained to accept information and pratice,,application of fertiliser and plucking management,,,,
113,Poultry keeping,,,"weeds
hailstone
drought","Spraying with chemicals 
Weeding",livestock production,"SOME FARMERS CLAIM TO BE BUSY
LACK OF WILL POWER ON THE PART OF THE FARMERS",educate our farmers and other young children,,climate changes and heavy rainfall,,,,
114,"NUTRIENT CONTENT OF MY SOIL,BIOGAS",,,"Hailstone, drought and frost","Buy phosphates 
Spray",production of more milk,"The farmers do not accept what you telling,they want a trained personnel
Lack of cooperation from the farmers",educate our young farmers,,fertiliser application last year was low,,,,
115,IMPROVED LIVESTOCK KEEPING,,,"Drought, hailstorm",Spraying weeds,nothing,Most of the farmers are not willing to listen,improve on farmers visits,,weather changes and poor pricing,,,,
116,"HOW MUCH OF FERTILIZER DOES ONE NEED TO PUT IN A TEA FARM
WHICH ONE IS BETTER,WEEDING OR SPRAYING A TEA FARM
WHAT CAN ONE DO TO INCREASE HER PRODUCE IN A TEA FARM",,,"drought,workers who work in my farm are few","Spraying 
Weeding 
Terraces",planting in time,"The farmer might not take whatever you saying seriously
Lack of implementation on the part of the farmer after being trained
Lack of time",develop a system of educating farmers through sheds,,drought last year was high,,,,
117,HOW MUCH FERTILIZER TO APPLY IN A ONE ACRE FARM,,,i need soil  to be tested so that  i can get more yield,"Price 
Fertilizer",weeding,"Neglegence from other farmers
Some farmers fail to come to group meetings",have the formal meetings  chaired by the tea production experts,,we had pruned last year,,,,
118,"Kitchen gardening
Poultry keeping
Tea farming practices that increase yields",,,"weather changes
inadequate fertilizer 
weeding","Weeding 
Uprooting",plucking of quality tea,Lack of enough time,have a education on farmers,,tea has matured,,,,
119,Prevention of soil erosion between tea bushes,,,weather harshness that are accompanied by hailstones,"Spraying 
Mulching",early planting,"People need demonstrations
Failure to implement trainings",may be have visitors to tell us more,,lack of fertilizer,,,,
120,"What other crop can be grown in my farm
Farm planning",,,weather problem,"Use of manure as fertilizer,mulching",any thing like plucking round,Some of the farmers are not willing to listen to the new idea,have all the members educated on tea,,"enough fertilizer,good  weather",,,,
121,Dairy farming and poultry farming,,,I am not in a position to do them alone,VISITING OTHER FARMERS' FARMS,farming practices which improve output,"Lack of enough time,lack of coordination,Most of the farmers prefer to hear from an expert",regular visitation by managers,,"drought,frost",,,,
122,"General farming on tea,poultry keeping,livestock keeping,biogas,potato planting,fishery",,,no main challenge,SPRAYING THE CROPS AGAINST PESTS AND DISEASES,"planting shade trees
pruning
how to keep farm cleen",Most of the farmers are not willing to listen to the new idea and implement,have education by field officers,,Good produce in tea,,,,
123,"What kind of tea can do well in my farm,the soil needs to be measured to know what can do best.
Which breed is good in cattle keeping.",,,no training,BUILT TERRACES,"how to keep your farm clean
record keeping",No challenges,i need to be trained,,Because I pruned and low rainfall,,,,
124,"Crop rotation and after how long,how fertile is the soil,tree planting,when can you grow ovacado",,,weather changes and heavy rainfall,SALE OF OTHER THINGS SUCH AS CATTLE TO RAISE FINANCES,keeping records,"Some farmers fail to turn up for the meetings,some farmers do not keep time when there are meetings",a baraza/meeting to be called for all farmers to come,,Good produce,,,,
125,"How to get more produce from a small farm,dairy farming,poultry keeping",,,weather changes and payement is low compared to production,"Composting
Building terraces to prevent soil erosion
Weeding
Applying fertilizer",plucking table maintainable level,"Some farmers do not come to meetings in time,some do not turn up for the meetings,farmers need trained officers to train them",Given fiances and training materials,,No more changes,,,,
126,"How much fertilizer to apply,Green house farming,Biogas",,,"price fluctuation
fertilizer
pruning
plucking standards
weeds","Pruning
Spraying weeds
Building terraces
Composting",plucking tea table and making taraces,"Time,Most of the farmers would like to hear from an expert,Farmers need demonstrations",Training materials and implementation of action plans,,Plants growth were good last year,,,,
127,"Dairy keeping,poultry keeping",,,"weeds
low yields in my farm","Built terraces
Spraying
Planted trees along river banks",planting of shed trees,"Most of the farmers need demonstrations when you teaching them,time,","Training materials
Finances
Frequent visits to farms",,Fertilizers were of poor quality,,,,
128,"Poultry keeping,dairy keeping,planting of other crops that bring food",,,"weeds
cost of fertilizer
finance to improve output","Irrigation during dry seasons
Spraying to control diseases and weeds
Weeding
Applying fertilizer",shed trees,"Most of the farmers want to hear from an expert,time","Encourage and give me the training facilities 
Logistics",,Bad phosphates/fertilizers and drought,,,,
129,"Soil to be measured to know its composition and what else can be planted in it,The recommended depth that one needs to dig when planting coffee.",,,"weather changes and heavy rainfall
poor price of tea
high plucking price in nearby surrounding estates
high price of fertilisers hinders maxima production of tea leaves",Stopped taking loans from banks,any thing like pruning,Some farmers fail to come to the meetings,"Offer training materials 
Finances",,The types of phosphates given were good,,,,
130,"Soil to be measured to know how much fertilizer need to be applied,how to reduce the cost of production in tea,tea research on how to improve market",,,"long drought 
sometimes heavy rainfall and poor quality of tea
high plucking prices in the nearby estates
though plucking quality that renders the tea bushes to waste","Spraying against pests and diseases
Weeding",teracing,Time consuming especially when not all the farmers attend the meetings,Offering financial support,,Maize are doing well compared to last year,,,,
131,"How to plant purple tea,Farm planning,how to dress when spraying and handling of pesticides",,,"poor tea price 
weather changes",Pruning when there is prolonged drought,other farmers,"Not all the farmers attend the group meetings,lack of implementation on the part of the farmers","Training materials 
Demonstration farms 
Money",,Erosion may increase due to El nino this year,,,,
132,"Tea farming,Poultry keeping,dairy farming",,,"high cost of fertiliser
fluctuation of tea prices
weather changes
low tea buying prices it should be given in full amount other than bonus
constrains of Sacco's less money disbursements
spoiling of tea leaves",Irrigating during dry seasons,plucking table,Some farmers do not implement the teaching,"Fare 
Training materials",,No much change,,,,
133,"More about tea farming for example pruning,leveling,shade trees and its importance,dairy farming,poultry keeping,banana planting",,,"weather changes
fertiliser prices 
persistent drought","Tree planting to prevent frost,planting bananas to act as food especially during prolonged drought",tea best farming practices,"Lack of time for training,most of the farmers are too busy,lack of implementation on the part of the farmer","Finances for training
Transport/fare
Getting workers to substitute my duties while going to train/share info",,"More rain,more fertilizer",,,,
134,"Tea farming,which kind of herbicide is good for spraying against weeds and how to spray,dairy farming,poultry keeping",,,we don't know how they are done,"Spraying against pests,tree planting in tea farms",biogas,low turn up during meetings,Demonstration,,HEAVY RAINS,,,,
135,"How to increase food production,dairy farming,poultry keeping",,,"weather changes
low prices of tea markets",Not yet tried anything,Farming,"Some farmers may not attend the group meetings,Some may not arrive to meetings on time","Means of transport 
Materials",,"MORE FINANCES, IMPROVED CLIMATE",,,,
136,"Which kind of herbicide for spraying against weeds and how much need to be applied,labourers on tea farm to be trained on how to pluck,Which other kind of fertilizer apart from npk can boost tea",,,weather changes and high prices of fertilisers,"Built terraces to prevent soil erosion during heavy rains,Spraying against pests and diseases,use of compost manure instead of commercial fertilizers",Farming and tea management,Not all the farmers attend the meetings,"Improved communication between farmers,cooperation from the farmers",,"SPRAYING AND WEEDING,MORE FERTILIZER",,,,
137,"Tea farming,dairy farming,vegetable farming",,,"drought
hailstones",Spraying against pests and diseases,"Tea and soil management
Weeds","Sometimes the time is limited,Some farmers after being trained need the seeds and they are not readily available,Lack of training materials such as green houses",ORGANIZING MEETINGS TO INFORM FARMERS,,CHANGE OF WEATHER,,,,
138,"good farming methods
soil testing",,,"weather changes
price fuctuation","Pulling out of weeds and weeding in tea farms instead of spraying them because if he sprays,the chemicals bring other pests and it affects the soil,planting shade trees in tea farms,building terraces,planting trees around the river,composting,pruning","Tea maintenance/care and management
Erosion",,USING THOSE WHO ARE WILLING TO ENCOURAGE OTHER FARMERS,,"More compost fertilizer,planting in time",,,,
139,"Poultry keeping,dairy farming,passion fruit farming",,,"drought,pest and diseases",Doing the work himself instead of hiring someone because it is expensive,How to get high yields,,TRAINING,,"Hailstorms,cold weather",,,,
140,"Soil testing to know what can be done to increase production,what can be done to increase production when the crop has been affected by for example frost,hailstorms,Biogas,How terraces need to be built in a farm",,,"fertilizer, drought",Irrigation,Tea management,,"ORGANISING MEETINGS WITH FARMERS
CREATING AWARENESS THROUGH ADVERTISING",,Same production this year and last year,,,,
141,"How to increase production in tea farming,how to build terraces in a farm,How much fertilizer need to be applied in a tea farm,vegetable farming,poultry keeping,dairy farming,what is the recommended depth for bananas",,,"drought,hailstones",He has tried to do some of the work himself because he sometimes doesn't have money to hire labour,Vegetable planting/growing,,"Prior communication with the farmers so that they may get prepared
More training",,"Improved seeds,good fertilizer",,,,
142,"Value addition in what he produces in his farm,poultry management and building of poultry house,making of cattle feeds,application of manure instead of soluble fertilizer in tea farms,bee keeping,information on use of chemicals in farms and how to handle them,proper feed storage for cattle",,,"drought,lack of fertilizer,soil erosion,",Tree planting for water management and provision of fuel,"Tea care and management 
Supply on fertilizers 
What they will ask to know",,Organising visits to a demonstration farm for farmers,,Drought,,,,
143,,,,none,"Spraying against weeds,pruning","Cattle feeding 
Poultry 
Planting short term crops",,"Organise group meetings with farmers to train them
Organising farm visits for farmers",,"Less rain,warm weather",,,,
144,,,,"drought,price flactuation","Borrowing loans,pruning before expected droughts",Tea,,Farmers to be motivated,,Bad fertilizer,,,,
145,,,,"frost,hailstones,",weeding using both chemicals and manually using jembe and slasher,"Taking care of land 
Soil erosion",,Organising field days for farmers,,"Improved seeds,good weather",,,,
146,,,,Soil erosion,"Building terraces,tree planting near water sources",Expenditures,,"Training materials
Logistics",,Prolonged drought,,,,
147,,,,Weeds that do not die after spraying,Dairy farming to supplement income,New farming practices that improve yields,,"Visit by extension officers to train farmers
Providing farmers with finances",,"Drought,frost",,,,
148,,,,"Weeds 
Weather","Spraying against weeds,weeding",SOIL CONSERVATION,,"Providing more funds for the farmers to encourage them implement the project,Organising trainings for the farmers",,Cold weather,,,,
149,,,,Hailstone and frost,"Planting cattle feeds such fodder trees,Nappier grass instead of buying the cattle feeds",HOW TO GET MORE FINANCES SUCH AS FORMING A GROUP,,"Inviting trained personnel to come train the farmers,organising field days for farmers",,"Lack of enough fertilizer,prolonged drought,frost",,,,
150,,,,"Weeds 
Pests and diseases",,A NEW FARMING THAT IS COST EFFECTIVE AND INCREASES YIELD,,Extension officers to train farmers,,"No maize disease this year,good fertilizer for tea",,,,
151,,,,"Weeds, price fluctuations and poor fertility",,NEW FARMING PRACTICE THAT IMPROVES YIELDS,,Cooperatives to organise meetings with farmers,,"Improved seeds for maize,good weather",,,,
152,,,,"Weeds 
Price 
Pluckers",,Teaching them in my farm or in group meetings,,Inviting trained officers to train farmers,,"warm weather,fertilizer",,,,
153,,,,"Weeds 
Erosion",,Organising meetings with the farmers to teach them a new practise,,"Organising visits to demonstration farms for the farmers,Inviting trained officers to farmer group meetings to train them",,"Improved seeds,warm weather",,,,
154,,,,"Weeds 
Prices",,Training the fellow farmers in their farms,,"More trainers,capacity building for the farmers",,Drought this year,,,,
155,,,,"Weeds 
Costs of fertilizer 
Bad weather eg hailstones",,"How to pluck tea
How to prune tea",,Providing funds and training for the farmer to enable him develop something such as a green house which will help in making it easy for the farmer when teaching others (demonstration farm),,"Prolonged drought,cold season,hailstorms",,,,
156,,,,"Lack of finances,Weather changes",,Application of fertilizers in a tea farm,,Inviting trained personnel to train farmers,,Prolonged drought at the beginning of the year,,,,
157,,,,LACK OF KNOWLEDGE ON NEW FARMING PRACTICES,,Of a successful farming practice that I implemented on my farm,,Organising visits to demonstration farms for farmers,,"Not enough fertilizer,drought",,,,
158,,,,LACK OF ENOUGH FINANCES,,A new farming practice that I have implemented,,"Inviting trained personnel to come for the meetings,seeking assistance from the authorities for example chiefs when organising farmer meetings",,"Enough fertilizer,good weather",,,,
159,,,,"LESS KGS FROM TEA FARMING
SOIL EROSION IN THE FARM",,A new farming practice that I have implemented in my farm,,"Training materials,involving the administration such as chiefs when organising meetings with the farmers",,"Use of sly from biogas,use of decomposed manure",,,,
160,,,,"NOT ENOUGH FERTILIZERS
INSUFFICIENT FUNDS",,Kitchen gardening,,"Provision of funds for the farmers to make it easier for them to implement the training,stabilising the price for tea to help encourage the farmer to continue with the tea growing and do other changes",,,,,,
161,,,,"Hailstorms
Drought
Frost
Insufficient funds
Soil erosion",,How to implement the new practise,,"Organising seminars for farmers,Inviting trained personnel to train farmers in their farmers,Motivating farmers by stabilising prices for tea,Giving incentives for farmers and even the labourers",,,,,,
162,,,,"Hailstorms
Cold weather
Lack of finances
Low kgs of tea",,"Storage of pesticides,how to dress when spraying,kitchen gardening,composting,water management",,"Training so that you can be able to train other farmers,teaching farmers the importance of this practices",,,,,,
163,,,,"Hailstorms
Pests and diseases
Drought
Soil erosion which washes away fertilizers in tea farms",,A new farming practise that has helped to increase production,,chief to sensitize farmers to come and learn together,,,,,,
164,,,,"Hailstorms
Frost
Drought
Pests and diseases especially in maize
Lack of enough capital",,Tea farming,,"Seeking assistance from the chiefs in calling for meetings,looking for time that the farmers are not too busy to hold meetings",,,,,,
165,,,,"Cold weather
Hailstorms
Prolonged drought making it hard for the farmer to repay loans because there is low yields from tea",,"Growing of passion fruits,how to handle the suckers",,"Organising visits for farmers to demonstration farms,providing funds for implementation of the project then use it to train others",,,,,,
166,,,,"Heavy rains,bad weather,pests and diseases",,How to expand market for tea and encourage other farmers to do so,,"Build a green house so that it can be a training centre for other farmers because some crops don't do well in natural environment,provision of training materials such as magazines with information about farming",,,,,,
167,,,,"Pests and diseases,Lack of finances,hailstorms,heavy rain,frost,drought",,"Green house farming to increase food production,poultry keeping",,,,,,,,
168,,,,"Pests and diseases,drought,cold weather,Lack of enough finances",,Planting of traditional vegetables,,,,,,,,
169,,,,"Drought,lack of finances",,"Spacing when planting tea,tree planting and what kinds of tree need to be planted near water sources,pruning",,,,,,,,
170,,,,"Drought,Frost,finances,hailstorms,heavy rains",,A new farming practice that he has been taught and implemented it,,,,,,,,
171,,,,"Funds,lack of training on some areas such as dairy farming,hailstorms,drought,pests",,"How to prevent soil erosion,tea farming and how to increase its produce",,,,,,,,
172,,,,"Cold weather,price fluctuations,prolonged drought,lack of enough funds",,"Soil management,spacing in planting tea",,,,,,,,
173,,,,"Cold weather,prolonged drought,heavy rains,insufficient funds,pests and diseases,expensive fertilizers",,A new farming practise that I have implemented in my farm,,,,,,,,
174,,,,"Prolonged drought,frost,lack of knowledge on what can do best in the soil because it has not been measured,pests and diseases,lack of enough training in coffee farming",,installation of energy saving jiko(rocket stove),,,,,,,,
175,,,,"Frost,high cost of labour,prolonged drought,low yields,high cost of fertilizer and pesticides",,How to increase produce from tea farming,,,,,,,,
176,,,,"Frost,hailstorms,prolonged drought,insufficient funds,high cost of labour",,Dairy farming and artificial insemination,,,,,,,,
177,,,,"Frost,drought,hailstorms,pests and diseases,insufficient funds",,"Planting feeds such as fodder trees for the cattle instead of buying the feeds,diversification in farming,artificial insemination,biogas,zero grazing,hydroponic,use of non-soluble manure e.g sly from biogas instead of chemicals,arrowroot farming,crop rotation and how to maximise production from a small farm,grafting",,,,,,,,
178,,,,"Lack of training on how to,no market for some of the produce for example coffee,frost,hailstorms,heavy rains,price fluctuations,insufficient funds",,,,,,,,,,
179,,,,"Inadequate fertilizer because it is expensive,hailstorms,frost,drought,pests and diseases,price fluctuations,sometimes the fertilizer is ineffective on tea farms,",,,,,,,,,,
180,,,,"High cost of fertilizer hence insufficiency hence low yields of tea,hailstorms,drought,frost,insufficient funds for developing farms",,,,,,,,,,
181,,,,"Prolonged drought,heavy rains,soil erosion,weeds,lack of funds to implement ideas,high cost of fertilizer,strong winds,high cost of labour in tea plucking",,,,,,,,,,
182,,,,"Drought,hailstorms,price fluctuations for tea,pests and diseases,lack of enough funds for development in farming,high cost of fertilizer,poor market for milk",,,,,,,,,,
183,,,,"electricity
weeds on tea farm 
low yield in poultry farming",,,,,,,,,,
184,,,,"Frost,hailstorms,drought,lack of enough funds for development,training",,,,,,,,,,
185,,,,"Hailstorms,frost,drought,lack of enough fertilizers,pests and diseases,insufficient funds,lack of enough training on how to,price fluctuations,water source is far",,,,,,,,,,
186,,,,"Prolonged drought,hailstorms,frost,cold weather,pests and diseases,insufficient funds,lack of proper training,Weeds",,,,,,,,,,
187,,,,"High cost of labour and fertilizer,frost,hailstorms,drought,poor market for bananas and ovacados,price fluctuations,lack of funds to implement some of the ideas,substandard feeds for cattle,substandard chemicals",,,,,,,,,,
