,Q147.OtherInfoAreas,Q148.IdeasOfChanges,Q150.HelpToImplementChanges,Q162.MainChallengesOnFarm,Q163.SolutionsToAddressProblems,Q166.ShareNewFarmingPractice.Example,Q170.ChallengesOfSharingInfo,Q171.MakeSharingEasier,Q21.Income.Other.O6.Text,Q28.FarmHealth.Text,Q93.BankAccountChallenges,Q95.BankLoanFacilityChallenges,Q97.BankCreditChallenges,Q99.SACCOChallenges
100,Coffee farming and Production,,provision of loans,POOR CLIMATE UNFAVOURABLE FOR TOMATO GROWING,We prune the affected ones,"How to mantain coffee quality and increase productivity
Importance of planting coffee",People normally attend the training but they refuse to implement,I can always advice themp,,Lack of manure and coffee disease,,,,
101,How to control coffee wealt,,financial support,PESTS AND DISEASES,"Consulting extentiom workers
Spraying it",How to manage coffee from time of planting up to production and selling.,People have different attitudes and beliefs,To always senstise people about the importance of good coffee management.,,Favourable conditioms,,,,
102,Causes of price fluctuation,,training on growing fruits,"PESTS AND DISEASES
COFFEE WILT DISEASE",Extention workers helped us on how we can control coffee related pests and diseases,How to control coffee pests and diseases.,No big challenge as long as am trai ed.,Always train people and sensitise them on time.,,Favourable conditions,,,,
103,Improved methods of coffee farming,,Getting advice from extension workers.,COFFEE PESTS AND DISEASES,Spraying with chemicals,How best they can control coffee disease and pests.,At times some people can deliberately refuse to attend and listen.,To always attend trainings,,I added manure and best practices,,,,
104,New i deas on how to plant modern types of coffee,,more training on goat raring,#NAME?,Consulting extention workers,Coffee disease and prevention,Some people refuse to come thus low turn up.,Always sensitise people about the benefits of trainings,,It was affected by snow,,,,
105,Modern Coffee practices.,,if i was given training,COFFEE WILT DISEASE,"Spraying , cut the affected one and the replant",How to plant and harvest good quality coffee,People normally come in small numbers and donot implement what they are trained.,"To inform them earier before the training.
To always invite other experts to conduct or facilitate the training.",,Coffee disease affected it,,,,
106,Causes of coffee diseases,,more loans and advances to add on my capital,CO-OPERATIVE SOCIETY NOT HELPING MUCH WITH GIVING US TOOLS,Getting advice from extention Workers,How best we can prevent coffee diseases.,"People have different attitudes and beliefs.
Some people donot implement what they are trained",Always senstise people,,I added manure in my coffee plantation,,,,
107,MODERN FARMING PRACTICES,,sharing ideas with other farmers,"COFFEE PESTS 
FINANCIAL CONSTRAINTS
INADQUATE LABOUR","Normally cut and burn the infected coffee plants
Seeking advice from extension workers",How intergrate new types of coffee with the old type.,No big challenge.,To always give clear guidance and advice.,,Drought during flowering,,,,
108,USING PESTCIDES INORDER TO CURB PESTS AND DISEASES,,sharing with friends,PESTS,Cut the coffee plant that is affected by the disease,Importance if quality coffee,Some people donot follow the guidelines.,To have as many trainings as possible and to always monitor the progress.,,its because my coffee was still young,,,,
109,WOULD LIKE TO BE TRAINED ON HOW TO MANAGE AND CONTROL THE COFFEE WILT DISEASE,,if i get money i will hire labours on my farm.,"LACK OF FERTILIZERS
PESTS",Cut the affected coffee plants,Prevention of coffee diseases,Most people are not interested to implement,"Raising awareness 
Provide insentives to whoever attends like free hoes",,I didnot concentrate on coffee,,,,
110,"POULTRY FARMING, PIG FARMING, VISITING DEMONSTRATION FARMS",,training majorly,COFFEE PESTS,I always consult the extension workers,How best to we can prevent coffee diseases and pestd.,"Inadequate time to share with others.
Distance  since it needs some facilitation.","I can reshedule my time table
Get some facilitation",,climatic changes,,,,
111,#NAME?,,Given capital,"PESTS AND DISEASES
LACK OF MANURE AND FERTILIZERS",I always consult extention workers from the society,I WOULD SHARE WHATEVER KNOWLEDGE I'VE BEEN TAUGHT FOR EXAMPLE MULCHING TO MANAGE SOIL EROSION,Low turnup and lack of interest to some farmers,Need of intensive training,,Favourable weather conditions,,,,
112,cattle rareing,,to have money and training on how to do it,"COFFEE PESTS
DRYING OF COFFEE BRANCHES AND LEAVES","we normally cut old plantation
Again we burn the affected coffee stems",I WOULD SHARE WHATEVER I'VE LEARNT,#NAME?,Extention workers can help in sensitising prople.,,I ncreased manure and efforts,,,,
113,"how to treat cattle to produce more milk.
also more exposure visits",,By funding,"BANANA BACTERIAL WILT DISEASE, COFFEE WILT DISEASE, THIEVES, LACK OF TARPAULINS TO DRY COFFEE SEEDS",I normally share the challenge with my friends and extention workers,WOULD TEACH THEM WHATEVER I HAVE BEEN TAUGHT,NONE,BE GIVEN FARMING TOOLS,,coffee disease,,,,
114,soil fertility improvement,,lf given capital,LACK OF LABOUR TO WORK ON MY FARM,"I normally report to police
Cut the affected coffer plant and replant",WHATEVER I HAVE BEEN TAUGHT,FINANCIAL CONSTRAINTS,GET FUNDING THROUGH CO-OPERATIVE SOCIETIES,,we use modern farming,,,,
115,how to maintain a poultry project,,if i could be suported by loan it would be easy,COFFEE AND BANANA WILT DISEASE,"At times i spray
I also normally weed in time","BURNING AFFECTED COFFEE TREES
PRUNNING
MULCHING
DIGGING TRENCHES TO PREVENT SOIL EROSION",ABSENTISM OF SOME FARMERS DURING CO-OPERATIVE MEETINGS,MEET OFTEN AT THE CO-OPERATIVE SOCIETY,,Coffee wealt,,,,
116,more training on quality seedlings and more training on soil management,,getting trained on how to secure loans,"PESTS AND DISEASES
HAILSTORMS DURING HEAVY RAINS",I normally consult my fellow farmers and extention farmers,I WOULD ENCOURAGE THEM TO JOIN THE CO-OPERATIVE SOCIETY SO THAT THEY BECOME MORE KNOWLEDGABLE,NONE YET,IMPROVING UPON COMMUNICATION SKILLS AND METHODS FOR EXAMPLE CALLING THOSE WITH PHONES,,Addution of manure in my coffee plantation,,,,
117,more training on how to get good but cheap manure,,being trained,"PESTS AND DISEASES
LACK OF CAPITAL LOANS TO IMPROVE FARMING
LACK OF MONEY TO BUY GARDENING TOOLS",I cut snd burn coffee disease that has a disease,WOULD SHARE WITH THEM ON HOW TO CONSTRUCT COMPOST PITS TO DEPOSIT IN WASTE THAT WOULD LATER BE USED AS MANURE,SOME FARMERS DONT APPLY THE KNOWLEDGE GIVEN TO THEM INTO PRACTICE DUE TO LACK OF FINANCES,ENCOURAGE CO-OPERATIVE SOCIETIES TO GIVE ADVANCE LOANS TO FARMERS,,Favourable climate,,,,
118,"growing mushrooms and adding value to matooke, for example banana chips",,To get aloan from the society,"I HAVE NO LABOUR TO HELP OUT ON MY FARM. 
AM TOO OLD.","Always comitted to the contract signed and supply coffee to the society.
Always for advice from the extention workers.",BEE KEEPING,ABSENCE OF SOME FARMERS DURING CO-OPERATIVE MEETINGS,NONE YET,,HARSH CLIMATIC CONDITIONS. TOO MUCH SUNSHINE.,,,,
119,more training on disease prevention,,"by getting loans through crop finance,","LACK OF GRASS TO USE FOR MULCHING
PESTS AND DISEASES","Cut the affected coffee plant and burn them.
A gain I consult extention workers",WOULD SHARE EVERYTHING I HAVE BEEN TAUGHT,THE CO-OPERATIVE SOCIETY HAS A DISORGANISED       ADMINISTRATION AND TAKES AGES TO PAY FARMERS AFTER SUPPLYING THEM WITH COFFEE,IMPROVEMENT OR CHANGE IN CO-OPERATIVE SOCIETY ADMINISTRATION,,PESTS,,,,
120,how to dry coffee,,if some one help me with money then i will solve my problem.,LACK OF LOAN SCHEMES TO IMPROVE OUR FARMING,I Cut the coffee plant that has wealt then burn it,BUILDING TRENCHES TO STOP RAIN WATER FROM ERODING SOIL,REDUCTION IN THE FREQUENCY OF FARMER TRAINING MEETINGS AT THE CO-OPERATIVE SOCIETY,#NAME?,,GOOD FARMING PRACTICES,,,,
121,growing and keeping fruits healthy,,getting loans from society,"pests, diseases,and weather changes",I normally consult extention workers,WOULD TEACH THEM THE ADVANTAGES OF EARLY PLANTING,SOME FARMERS DO NOT PUT INTO PRACTICE WHAT THEY HAVE BEEN TAUGHT,INCREASE IN THE FREQUENCY OF FARMER TRAINING MEETINGS,,THE WEATHER HAS BEEN FAVOURABLE,,,,
122,growing fruits,,funding,banana wilt,"Cut and burn the affected coffee plant.
Prune and replant",GROWING COFFEE,people's schedules for other things,TEACH THEM THE ADVANTAGES OF CARRYING OUT GOOD FARMING PRACTICES,,"ADDED MANURE, PRACTICED MULCHING",,,,
123,How prevent coffee pests and diseases,,to be taught and funding,diseases,I always consult my fellow farmers and extention workers,#NAME?,people in the community do ask for sitting allowances,schedule one day for the training,,INCREASED HARVEST,,,,
124,goat raring,,l have no idea.,"coffee wilf and Bctb, lack of maure",I uproot the coffee plant that has wealt and burn it.,WOULD SHARE ABOUT CONSTRUCTING COMPOST PITS,The members may ask for drinks and stationally,Training on these ideas,,FAVOURABLE WEATHER,,,,
125,training on use of organic manure,,The society should give us Robuster coffeee.,labour,I uproot the coffee plant that has a disease and burn it. and then replant a new one.,MULCHING,many are redudunt to adopt,provide him with stationally,,PESTS AND DISEASES LIKE THE BANANA WILT DISEASE,,,,
126,more training on coffee spacing and growing,,getting loan,weather changes,I consult the extention farmers for advice.,WOULD GIVE THEM IDEAS ON HOW TO IMPROVE OUR FARMING SKILLS SO THAT OUR COMMUNITY AND CO-OPERATIVE DEVELOP,"poor attendance to trainings, reluctant to implement",set demo & trainings,,EARLY PLANTING,,,,
127,training on how to prevent coffee diseases,,getting loan from the society,limited labour,I normally cut burn coffee plant that is already affected.,WOULD TEACH THEM TO BURN AFFECTED PLANTS,poor turn-ups for trainings,"give start up capital, give training perdiem",,EDUCATION/TRAINING FROM FARMER TRAINERS,,,,
128,How to control pests and diseases in coffee and banana plantations.,,getting loan from the society.,"waether changes ,coffee wilt","I cut and burn coffee plant that has wealt.
Consult extention workers",EVERYTHING I HAVE LEARNT,failure to implement whay you train at your own farm,start up demo site facilitate farmers to have ttainings at demo,,TRAINING RECEIVED AT THE CO-OPERATIVE SOCIETY,,,,
129,which pest and diseases spray should i use.,,To hire aland.,diseases and weather changes,I cut the the coffee plant that has a disease.,WOULD TEACH THEM ABOUT BUILDING COMPOST PITS,transport,consider perdiem,,PESTS AND DISEASES AFFECTING THE COFFEE TREES,,,,
130,modern farming,,to train me and give capital,diseases and drought,Always consult my fellow coffee farmers and extention workers,WOULD SHARE THE IMPORTANCE OF PRUNNING AND ALSO ADVISE THEM NOT TO USE PESTCIDES IN ORDER TO PRODUCE ORGANIC HARVEST,most farmers do not know how to read and write,provide bicycles,,GOOD FARMING PRACTICES LIKE BUILDING COMPOST PITS,,,,
131,how to plant better tea,,financial support and training,drought and diseases,"I cut the affected coffee plants and burn them, then replant",WOULD TEACH THEM TO PRACTICE MIXED FARMING,people lack interest,provide visual aids for them to understand,,INCREASE IN THE NUMBER OF TREES PLANTED,,,,
132,expertise in good farm managment,,support from outside countries mostly  the women,lack of information on bee keeping,I cut the coffee plant that has wealt and burn it .,COFFEE SPACING DURING PLANTING,lack of interest,providing them with sitting allowances,,INCREASED HARVESTS,,,,
133,how to do good managment and accounting and keeping records,,ready market for chicken and eggs,lack of enough space,I cut and uproot coffee plant that is affected,PRUNNING,fear to keep bees by the farmer,visual aids and mashroom seeds,,COFFEE PESTS,,,,
134,How to pick tea,,government should provide loans to farmers with low interest rate,drought,Consulting the extention workers,DIGGING COMPOST PITS,lack of patience by the farmers,more training,,SOIL HAS BECOME INFERTILE,,,,
135,good agricultural praticed,,getting support,fear that bees are dangerous,I uproot and burn the plant that has a disease,EARLY PLANTING,others give out wrong informations,no challenges,,GOOD WEATHER,,,,
136,On soil analysis majorly,,getting means of transport so that he can deliver his leaves personally,Alot of droght,I consult extention workers for advice,WOULD TEACH THEM ON HOW TO CONTROL THE COFFEE WILT DISEASE THROUGH PRUNNING,others refuse to follow my advice,training on bee keeping,,"BAD WEATHER, HAILSTORMS",,,,
137,tea majorly,,availability of finance aid,pest and diseases.,I normally uproot and plant new types of coffee .,WOULD TEACH WHATEVER I HAVE BEEN TAUGHT,some farmers lack interest,training to train others,,FAVOURABLE CLIMATE,,,,
138,How to manage coffee and banana plantations,,more training and finance,lack of labours and pests and diseases.,EMPLOYING LABOUR TO HELP OUT AT THE FARM,WOULD SHARE ABOUT HOW TO CONTROL THE COFFEE WILT DISEASE,lack of enough information,provide visual aids,,POOR CLIMATE LED TO REDUCTION IN COFFEE HARVESTED,,,,
139,training on modern farming,,timely payment and advance,pests and bad weather,NONE,COFFEE SPACING,opposition from other farmers,more moblization,,I GOT SUPPORT FROM CAFE DIRECT INFORM OF MULCHES,,,,
140,How to stop the spread of pests and diseases.,,factory should help in providing manure to the farmers,lack of enough labour,USING PESTCIDES,"WOULD TEACH THEM TO PRUNE, MULCH AND WEED THEIR COFFEE PLANTATIONS",others give irrelevant information,we should consult the extension workers,,"I GOT SICK, REDUCED MY FARMING ACTIVITY",,,,
141,what is the cause of price fractuation? How can i control pests and diseases,,increase price of tea at mabale factory,lack of materials,USING FERTILIZERS,"WOULD TEACH THEM ABOUT PRUNNING, MULCHING",some dont use it so its a waste of time,i can take them to the demonstration farm in order to get clear information,,COFFEE DISEASE,,,,
142,where can i get pest spray.,,do it in phases so that he invests the money in the other thing,diseases and lack of enough capital,UPROOTING AND BURNING THE AFFECTED COFFEE TREE,UPROOTING AFFECTED PLANTS,they dont do what u have told them,nothing,,AVAILABILITY OF ENOUGH LAND TO PLANT,,,,
143,How to prunne coffee,,not sure,coffee diseases,PRUNNING,"WOULD TEACH THEM ABOUT USING MANURE, MULCHING, PRUNNING",none,showing them using examples and demonstrations,,HAIL STORMS AFFECTED THE CROPS,,,,
144,Clear information on how to use artifical fertilizers.,,more money to pay workers,"drought,pest and diseases,lack of labours",PRUNNING OFF AND BURNING THE AFFECTED BRANCH TO AVOID SPREAD OF DISEASE,on how to make it and the benefits,not many,provide more training to me and also provide a senior trsiner to support me,,PESTS AND DISEASES,,,,
145,How to look after coffee and banana plantations with the aim of increasing productivity.,,provide more trees to farmers,no challenge,PLANTING IN TIME,how to rare cattle and keep them healthy to increase productivity,people under mind you and dont take them up or even practice what you have shared with them.,provide demonstrations so that people do not reject the information,,HARSH WEATHER CONDITIONS,,,,
146,how to pluck tea,,provide more resources,"pest and diseases, drought",USING MANURE,with my local group,people dont seem to care about what is shared and others under mind the info given so its a waste of time,being trained on specific area,,INCREASE IN THE SEEDS PLANTED,,,,
147,Learn how to care for cows and soil maintainenance,,being trained and financing,prices majorly,NONE YET,control of pests and erosion control,peoples level of understanding is low,By vistinf other farmers and having workshops.,,LACK OF ENOUGH LABOUR,,,,
148,to be taught how to breed good goats and improve on the fish farming,,provide with money,Not paying from the group and lack of fertilizer,PRUNNING OFF THE AFFECTED BRANCHES,making trenhes,some farmerd are slow in grapping ideas and others feel they know,through radios because its much easier,,PLANTING WELL SORTED SEEDS,,,,
149,to get farming skills and tea growing,,if get transport can help me get manure to applyvin banana,pests and diseases is so big,BUYING MY OWN TOOLS AND BORROWING WHAT I DON'T HAVE FROM OTHER FARMERS,plunning,no problem or challenge,through radios,,GOT TRAINING ABOUT GOOD FARMING PRACTICES,,,,
150,Especially in disease control,,if i get money and buy more land,pests and capital,PRUNNING OFF AFFECTED PLANTS,gender and coffee,farmer is always busy working,through radios like KRC radio,,PLANTED MORE CROPS,,,,
151,in tea producation and marketing,,have materials to carry out that idea,"low capital to buy fertlizers, and price fluctuations of tea",USING MULCHES AND PRUNNING TO IMPROVE UPON HARVESTS,training them on how to house chicken to avoid theives,others give out poor informations,Have more extension farmers and also through radios,,MY HARVESTS INCREASED,,,,
152,In live stock managment and growing fruits,,,lack of capital and labour,I ADD MULCHES IN THE GARDEN,planting quality seedlings,farmers dony care,through chutches and radios,,INCREASED HARVEST IN COFFEE,,,,
153,How can i  increase on my farm productivity.,,,lack of income and pests and lack of care,"PRUNNING OFF SICK BRANCHES
BURNING SICK PLANTS",teaching them how to grow mashrooms,people have different minds to understand,through churches mainly,,I CARRY OUT EARLY PLANTING,,,,
154,How to control pest and disease in coffee plantation,,,no big challenge,PRUNNING OFF AFFECTED PLANT,share with them better farming methods,they donot take part,to put in pratice and others copy,,DROUGHT,,,,
155,How to control weeds in coffee plantation.,,,transport and poor road network,ATTENDED TRAINING WITH CAFE DIRECT AT THE UNION AND LEARNT ABOUT AMONG OTHER SOLUTIONS TO PRUNE OFF AFFECTED BRANCHES,how to keep bees,people dont mind,through training,,added more manure,,,,
156,HOw to make local nanures,,,lack of labour majorly,UPROOTING AFFECTED PLANTS,more training on good agricultural practices,otheirs give wrong informations,to pass through radios and churches,,too much drought,,,,
157,How to prevent the spread of pest and diseases in coffee,,,farmer lacks labour to work on the farm,"PRUNNING, UPROOTING AND BURNING AFFECTED PLANTS",what i have been trained on,other farmers have no solutions to the problems,i should be trained,,more harvest after adding manure,,,,
158,How to prevent pest and diseases in my plantations.,,,"pest and diseased and price fractuation, drought.",NOT YET,fruit growning,others they ignore my ideas,through training majorly,,"aplied manure,bought another plot",,,,
159,How to control coffee diseases.,,,"Lack of capital to improve my farm, drought",PRUNNING AFFECTED BRANCHES,how to use dry grasses during mulching this can reduce sunligt to hit the roots and stems hence increasing coffee productuon,others dont take my advice,through trainig,,he replanted,,,,
160,On modern farming,,,"pest and dideases, price fractuation,",DRYING COFFEE BEANS ON ORDINARY CLOTHS UNDER THE SUN,i adviced them to cut and burn all the infected coffee trees.,i dont get solutions to the problems.,througj radios,,affected by hailstorm,,,,
161,in areas of growing tea,,,"Pests and diseases, price fractuation",MULCHING AND PRUNNING,you should space coffee while planting and mulching.,lack of money to hold farmers meetings.,i should be trained in all sectors,,gap filling wilt affected trees,,,,
162,How to look after or to increase coffee and banana production.,,,"Limited land, pest and diseases, price fractuation",I FARM WITH IN MY MEANS,neighbours,i lack clear knowledge,training,,mulched and applied manure,,,,
163,"know more about his acreage,  how to improve on his quality",,,pest and diseases,"PRUNNING , UPROOTING AND BURNING AFFECTED PLANTS",neighbouring farmers,some farmers are not fast at grapping,i can take them to my farm and  demonstrate to them.,,i malched my land,,,,
164,tour outside uganda to see how they practice their farming,,,"pest and diseases , price ftactuation, lack of manures.","more manure,watering ,prunning",fellow farmers in the community,they dont undestand fast,Extension workers should intervien in farmers problems.,,more attension even in drought,,,,
165,tea agronomic ptactices,,,"pest and diseases ,lack of funds, weather changes",uprooting the affected bananas,share the knowlege recieved during training,farmer hasnt got any problem,the society should contribute money for the farmers meetings.,,drought last year,,,,
166,information about more market,,,"pest and diseases,",uproot the affected plants,how to plant and harvest in time,ignorance,i should be trained.,,more efforts in developing the farm,,,,
167,teaching new methods of farming like mulching,,,"pest and diseases , unstable prices","always reserve fund from sales to buy manure, field inspection",taking farmers to my farm and we share ideas together.,majorly ignorance,through radios mostly,,less drought,,,,
168,based agronomic practices gap,,,no major challenge,mulching,i share ideas with my friend on how to put dry grasses in the farm.,some people undermind us,through through training,,better practices like malching,,,,
169,we are a ware of what to do but price fluctuations,,,Expensive fertilizers,promote tree planting,how to pluck tea and what i have learnt,"some community may not practice after training,  education and knowlegde gap",through sensitization and mobilisation,,similar practices,,,,
170,"take care of cattle, proper feeding of cow",,,"there is change in seasons, hailstones, lack of herbisides, lack of labour",employ low wedge labour,how to plant tea,"lack of transport, no lunch","facilitating them, transport refund",,i provide them with maturep,,,,
171,as a tea grower he wants to know more a bout tae farming,,,lack of capital,continous planting,how to plant properly,low turn up,not sure,,i covered my farm with dry grasses.,,,,
172,best practices in tea management,,,"lack of inputs, capital majorly",uprooting the affected plants,good information,"transport to the meeting place, need of lunch and stationary",mobilising more farmers,,Drought and heavy rain,,,,
173,teach him new methods of farming to improve yields,,,High costs of inputs and poor market and weather,no solution,how to pluck tea and Irrigation,not sure,if could reduce the number of farmers and meet few groups,,diseases and weather changes,,,,
174,get information incase the price of tea is increased,,,prices and inputs,uprooting the affected stems,for example how to mulching and changing crop if there is failure,"transport, facilitation inform of lunch",door to door training,,there were many diseases last year,,,,
175,on how to apply inputs,,,"expensive inputs, pests , and weather mostly",no solutions,depending on what the farmer has learnt,farmers are not interested,provide with means of transport as a motorcycle since they are hard to reach areas,,better weather,,,,
176,good farming practices,,,mostly prices of tea,uprooting the affected  plants,good farming practice what i have learnt,low interest with farmers,sensitising farmers,,paying more attension to the farm,,,,
177,tree planting,,,prices and lack of labour,uprooting the affected plant,what the farmer has learnt,may be might ask him questions his not ready to answer or doesnot have any idea a bout,sensitizing farmers,,manuring and malching,,,,
178,more teachings on how to pluck tea,,,prices that are unstable,by mulching,Any good farm pratice that i know or learnt,sometimes its hard to share the idea,through seminars,,affected by drought,,,,
179,padocks on the farm,,,"Thieves, unstable price, lack of capital.",i cut and burn the infected the infected coffee trees.,share ideas on how to use modern farming,"transport costs, materials",group of few people,,because of pest and diseases,,,,
180,more knowledge on tea,,,"pest and diseases, weeds, price fractuation.",i work with my wife and i should cut and burn infected  crops,like planting in seasons,some of them will not accept good plucking leaves,provide with transport and materials,,Because of drought,,,,
181,how to control pests and diseases,,,"Am very old so i cant manage my farm, pest and diseases,lack of money to hire labours and thieves.",nothing yet,what i know,not interested,increase price of the leaf,,Because of price fluctuations of tea,,,,
182,technical staff should teach them how to apply fertilizers,,,"pest and disease, lack of gunboats",employing cheap labour,any good farming practice,they those that are not easy learners,with those interested,,Because of fertilizers,,,,
183,record keeping to know how am spending my money,,,"i have eye defect so i cannot manage my farm, poor soils, pest and diseases, lack of money.",dry the coffee in bits,what i have learnt,as villagers they expect alot from you apart from knowledge,repeat several times for those who didnot understand,,Because of price fluctuations,,,,
184,teach new methods of farming,,,pest and diseases and lack of matures.,uprooting and burning the affected coffee trees,"If you  prun, mulch and plant in time you can get high yield.",expect transport refund,hold a village meeting including stake holders,,Because i have a worker,,,,
185,,,,"pest and diseases, price fractuation, limited knowledge on farming.",planting in time.,that if our coffee plantations get pest and diseases we should consult the extension wokers.,lack of what to use,provide with transport means,,According to increased producation,,,,
186,,,,"pest and diseases, drought, lack of hoes.",To mulch the farm and cut the infected coffee treeses,i encourage them to encouge in agriculture,many farmers are not educated,provide with materials we can use,,There is no money for in puts,,,,
187,,,,"pest and diseases, price fractaution, lack of manures.",to change the farming system,i advice them to cut the affected coffee tree.,transportation cost,sensitize,,because of too much sun  and lack of labour,,,,
188,,,,lack of capital mostly to re-invest,consulting sn expertise,we share ways on how to prevent pest and diseases in our farms.,no transport,should be done on radios,,Due to climate change and lack of labour and ferti,,,,
189,,,,natural diasters mainly and fluctuations of prices,prunning so that it grows newly,"how, where and when to get quality seeds",they those who will not be interested,transport means,,they changed prices of tea and so capital dropped.,,,,
190,,,,"price fluctuations, and weather",we prune to reduce on the demand of fertilizer,how to mulch the plantation with the aim of increasing soil fertility.,might train but not put in practice,through groups of few farmers,,because of priced of tea which are unstable,,,,
191,,,,seasonal changes and unfertile soil generally and lack of market,using family members,what i have known,might share information that is too costly and find i cannot afford,programme on radios,,Because no fertilizer,,,,
192,,,,"majorly seasonal changes , lack of labour and lack of manure",through loans,how to pluck tea,"level of understanding, level of house hold economy",form groups,,pest and diseases,,,,
193,,,,lack of equipment and delayed payment,"trying to look for training in managment of soil and crops, plus water and pests and train workers too",how to pluck,,,,i hire labours to maintain it,,,,
194,,,,Weather changes and lack of market majorly for our products,made a plan to borrow money for transport,"on how to mantain plantations, how to produce quality tea as farmers, encourage farmers and workers to have good basket for their homes",,,,i lacked manure,,,,
195,,,,price fluctiations of our Agricultural products,farmer has not got any solution,"new methods of farming, information about spraying every after three months",,,,i planted and harvested in time,,,,
196,,,,majorly price fluctuations,to increase farm in puts and equipment,new farming methods,,,,I have knowledge on farming issues,,,,
197,,,,seasonal changes majorly,Cuting and burning the inffected crops,having good poultry unit,,,,it was Gods plan.,,,,
198,,,,price fluctuations,getting loan fromSACCO.,"prunning, plucking, measurement of fertilizer to put in an acre",,,,l applied alot of mature in my plantations,,,,
199,,,,"pests and diseases, limited land, soil erosion.",cutting the inffected crops,"teaching them how to mulch,",,,,Because of lack of fertilixers,,,,
200,,,,majorly tea price fluctuations,The society should increase coffee prices,other methods of farming,,,,Because the season has not been bad to the farmer.,,,,
201,,,,majorly lack of capital and labour,i have no solutions for them,good plucking methods,,,,because of lack of fertilizer,,,,
202,,,,"yields are low during dry seasons, price fluctuations, transport costs","Hiring land,burning infected crops.",give them advice  on what he had got from the new farming methods,,,,Because there is an improvement in tea produce,,,,
203,,,,"pests and diseases, high cost of inputs and price flactuations",i just cut the dry coffee tree,"dairy farming,",,,,Because of weather and lack of fertilizer,,,,
204,,,,lack of fertilizer,"i cut and burn inffected crops, we look for other people who can buy our cropd on high prices.",how to plant and prun,,,,Because of lack of inputs and lack of labour,,,,
205,,,,lack of herbcides to control weeds,"I get loans fromSAC COS, i use local herbs like ash to kill pest on the coffee stems.",tea planting,,,,Because of prices,,,,
206,,,,"soil facility,transportation costs",i cut the infected coffee and banana trees.,how we can buy fertilizers and manure,,,,Because i put more fertilizers,,,,
207,,,,"lack of fertilizer, more training, donnot have enough money to pay workers",i have no solution.,if it was possible would share ideas on how factory can increase on the cost of tea,,,,Because of lack of capital,,,,
208,,,,"drought, pests and diaeases, rainstorm",through getting loans,not sure,,,,the season was favourable,,,,
209,,,,limitted to financing labourers,planting in time and reduce on the farming size,"how to apply fertilizers, how to pluck good leaves and the plucking rounds",,,,"pest and diseases , drought",,,,
210,,,,"price fluctuations, lack of fertilizers",to prune,what they have taught me,,,,l mulched my plantation,,,,
211,,,,lack of fertilizers and herbicides,through accessing loans,sensitizing on how to make composite manure,,,,becauses of frost.,,,,
212,,,,"lack fertilizers, no workers because delay salary",to try and prune,plucking and supplying good quality tea,,,,i have poor seeds,,,,
213,,,,"lack of manure and herbicides,  low green leaf price, accesssiblity to finance",through prunning,how to pluck good tea,,,,i got more knowledge on my plantation through trai,,,,
214,,,,"little money to get more inputs, late payment of money from tea,",nothing,good maintainance of farm,,,,i have recieved rainfall,,,,
215,,,,prolonged drought,none because the producer determines,to give knowledge and practicing work,,,,Because of inputs,,,,
216,,,,"lack of manure and fertilizers, low payment from tea",trying to spray,what they have taught,,,,Because of lack of inputs,,,,
217,,,,"drought mostly in january, no trees in tea plantation,",nothing really,"experience about changes, how to control pests and diseases",,,,Because of lack of fertilizers and prices are unst,,,,
218,,,,"donot have enough labour because get little money from tea, lack of manure",i will get capital from my relatives,show then how to plant bananas,,,,Because the farmer applied fertilizer,,,,
219,,,,"lack of fertilizers, late payment",l cut the inffected coffee tree,giving advice,,,,because of lack of fertilizers,,,,
220,,,,"lack of fertilizers because inputs are costly, shortage of labour",i  have no solution,what have learnt,,,,Because of lack of fertilizers,,,,
221,,,,lack of fertilizers and manure,I cut the affected coffee plant and replace it.  my ground children help me to clear my farm.,,,,,Because of good appearance,,,,
222,,,,lack of manure and herbicides,i cut the the affected coffee trees.,,,,,Due to lack of fertiliers,,,,
223,,,,"lack of manure and fertilizers, lack of labour, climatic changes",i cut the coffee trees which  are inffected.,,,,,Because we dont have fertilizers,,,,
224,,,,"lack of fertilizers, herbicides, poor prices, inadequate refesher courses for farmers, thefty from workers",i started mulching,,,,,reliable rainfall,,,,
225,,,,"lack of manure, pests and diseases",i spray using local herbs and i get local manures and mulching.,,,,,lack of labour,,,,
226,,,,"lack of fertilizers, pests and diseases",I should be trained,,,,,keep good standards of the farm,,,,
227,,,,"lack of inputs because they are costly, no enough labour, low price of tea",i irrigate my crops during dry seasons.,,,,,"a lot of sunshine, a lot of rain",,,,
228,,,,"lack of fertilizers and manure, pests and diseases",i spray my plantations.,,,,,lack of manure,,,,
229,,,,"lack of fertilizers,  not planting in time because of late payment",thtough agro forestry and mulching and terrasing,,,,,added some fertilizer,,,,
230,,,,"lack of fertilizers because no money, pests  and diseases, weather changes, soil infertility",to do mulching mostly,,,,,been getting inputs which are of good standards,,,,
231,,,,"lack of fertilizers and manure, heavy rain, pests and diseases",to mulch and apply fertilizers,,,,,"do not apply fertilizers, manure",,,,
232,,,,"lack of fertilizers and manure, no enough labour, pests and diseases",to apply fertilizers mostly,,,,,not given fertilizers from mabale,,,,
233,,,,,nothing really but fallowing majorly,,,,,do not have fertilizers,,,,
234,,,,,just watering majorly for drought,,,,,lack of manure and herbicides,,,,
