OldColName,NewColName
"Qtn. 149 If yes, what are the main challenges / barriers to enabling you to carry out these ideas?",Q149-BarriersToChanges
Qtn. 150 What would help encourage you to carry out these ideas on your own farm more?,Q150-HelpToImplementChanges
Qtn. 151 Have you ever seen this idea before?,Q151-SeenIdea
Qtn. 152 Do you use this idea (above) on your farm?,Q152-UseIdea
"Qtn.153 If Yes, how are you using this idea on your farm?",Q153-HowUsingIdea
Qtn. 155 How long have you had this on your farm?,Q155-HowLongUsingIdea
Qtn. 156 What are the benefits of using this on your farm?,Q156-BenefitsOfUsingIdea
Qtn. 157 Have you shared this idea with other farmers?,Q157-SharedIdea
Qtn. 158 How long have you had this on your farm?,Q158-HowLongUsingIdea
"Qtn. 159 If no, do you have anything similar?",Q159-SimilarIdea
"Qtn. 160 If yes (using anything similar),can you tell us more about it? ",Q160-WhatSimilarIdea
"Qtn.161 If no, Is this an idea that you would be interested in learning about?",Q161-InterestedInLearningIdea
Qtn. 162 What are the main challenges you have on your farm?,Q162-MainChallengesOnFarm
Qtn. 163 What solutions have you designed to address the problem you are facing on your farm?,Q163-SolutionsToAddressProblems
"Qtn. 165 If you learnt about a new farming practice, would you share this knowledge with another fellow farmer?",Q165-ShareNewFarmingPractice
Qtn 165. Others (Specify),Q165-ShareNewFarmingPractice-Other
Exampleofhowwhatfarmerwouldshare,Q165-ShareNewFarmingPractice-Example
"Qtn. 166 If yes, can you give an example of what you would share?Frequencywhenfarmerwouldshareideawithfellowfarmer",Q166
Qtn. 167 How often would you share ideas with others?,Q167-HowOftenShareIdeas
Qtn 168 Who would you share it with._O1,Q168-WhoShareIdeaWith-O1
Qtn 168 Who would you share it withs_O2,Q168-WhoShareIdeaWith-O2
Qtn 168 Who would you share it with_O3,Q168-WhoShareIdeaWith-O3
Qtn 168 Who would you share it with_O4,Q168-WhoShareIdeaWith-O4
Qtn 168 Who would you share it withs_O5,Q168-WhoShareIdeaWith-O5
Qtn 168 Who would you share it with_O6,Q168-WhoShareIdeaWith-O6
Qtn 168 Who would you share it withs_O7,Q168-WhoShareIdeaWith-O7
Qtn 168 Who would you share it with_O8,Q168-WhoShareIdeaWith-O8
Qtn 168 Who would you share it with_O9,Q168-WhoShareIdeaWith-O9
Qtn. 169 How do you share information with other farmers? Rank in order of priority (Select all that apply,Q169-HowShareInfo
Qtn. 170 What are the challenges to sharing information with other farmers?,Q170-ChallengesOfSharingInfo
Qtn. 171 What could be done to make it easier for you to share information?,Q171-MakeSharingEasier
"Qtn.172 As a farmer promoter, have you undertaken any activities with other farmers?",Q172-AsFarmerPromotorActivities
"Qtn. 173 In the past 1 year, what activities have you undertaken?",Q173-ActivitiesUndertaken
Qtn. 173 Others (Specify),Q173-ActivitiesUndertaken-Text
"Qtn. 174 In the past 1 year, have you received any farmer promoter on your farm to offer support?",Q174-ReceivedFarmerPromotor
"Qtn. 175 If yes, what activity or support did you obtain from the farmer promote_O1",Q175-FarmerPromotorSupportObtained-O1
"Qtn. 175 If yes, what activity or support did you obtain from the farmer promote_O2",Q175-FarmerPromotorSupportObtained-O2
"Qtn. 175 If yes, what activity or support did you obtain from the farmer promote_O3",Q175-FarmerPromotorSupportObtained-O3
Qtn.175_Others (Specify)_3,Q175-FarmerPromotorSupportObtained-O4-Text
Qtn. 176 What was your level of satisfaction with the support obtained from farmer promoters on training?,Q176-SatisfactionFarmerPromotorTraining
Qtn. 177 Can you give a reason for your rating/level of satisfaction above?,Q177-TrainingSatisfactionReason
Qtn. 178 What was your level of satisfaction with the support received from farmer promoters on visiting demo plots?,Q178-SatisfactionFarmerPromotorDemoPlot
Qtn. 179 Please give your reason for your level of satisfaction/rating above?,Q179-DemoPlotSatisfactionReason
Qtn. 180 Any other support that you received from farmer promoters that is not mentioned above?,Q180-OtherFarmerPromotorSupport
"Qtn. 181 If yes, Can you please mention the other support that you received from farmer promoters?",Q181-OtherFarmerPromotorSupport-Text
Qtn. 182 Can you rate your level of satisfaction with other support (mentioned above) that you received from farmer promoters?,Q182-SatisfactionFarmerPromotorOther
Qtn. 183 Please take a picture of the respondent?,Q183-PhotoOfRespondent
Qtn. 184 Note:To be done by the data Collector: PleaseTake the Global Positioning Systems (GPS) Coordinates of the Farm to be cross referenced with what the Farmer has estimated,Q184-GPSCoordinates
